model,power,prop_na,sample_size,cutpoints,beta_t,beta_tx,beta_t_tx,rand_intercept_sd,rand_slope_sd,n_sim,datetime
cox_spline2_state1,0.172,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
cox_prop_state12,0.08,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
cox_spline2_state12,0.058,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
cox_prop_state123,0.064,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
cox_spline2_state123,0.056,0,300,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-30T13:58:53Z
otm,0.992,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
otm_rand_int,0.992,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
rand_int,0.992,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
free_days8,0.058,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
free_days78,0.072,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
free_days678,0.116,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
free_days5678,0.21,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
free_days45678,0.614,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
free_days345678,0.86,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
free_days2345678,0.964,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
ppo_3,0.066,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
ppo_7,0.062,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
ppo_14,0.136,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
ppo_21,0.196,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
ppo_28,0.264,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
cox_prop_state1,0.258,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
cox_spline2_state1,0.182,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
cox_prop_state12,0.094,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
cox_spline2_state12,0.088,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
cox_prop_state123,0.062,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
cox_spline2_state123,0.062,0,400,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T00:29:18Z
otm,1,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
otm_rand_int,1,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
rand_int,1,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
free_days8,0.056,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
free_days78,0.076,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
free_days678,0.098,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
free_days5678,0.22,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
free_days45678,0.716,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
free_days345678,0.902,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
free_days2345678,0.996,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
ppo_3,0.07,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
ppo_7,0.05,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
ppo_14,0.146,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
